AgeGroup,Sleep duration,Sleep efficiency,REM sleep percentage,Deep sleep percentage,Light sleep percentage,Awakenings,SmokingStatusYesPct,Caffeine consumption,Alcohol consumption,Exercise frequency,BedtimeHours,WakeuptimeHours,RealSleep,SleepRem,SleepDeep,SleepLight,RealNoSleep
0,7.9400000000000004,0.68000000000000005,19.239999999999998,42.240000000000002,38.530000000000001,1.9399999999999999,11.76000000000,14.710000000000001,0.23999999999999999,0.46999999999999997,1,8,5.390000,1.530000,3.380000,3.040000,2.550000
20,7.4900000000000002,0.79000000000000004,23,53.609999999999999,23.390000000000001,1.6000000000000001,36.32000000000,30.760000000000002,1.2,1.8100000000000001,12,6,5.910000,1.720000,4.020000,1.750000,1.580000
40,7.3799999999999999,0.80000000000000004,22.530000000000001,53.759999999999998,23.710000000000001,1.6699999999999999,34.00000000000,18.210000000000001,1.1499999999999999,1.98,11,6,5.930000,1.670000,3.960000,1.760000,1.450000
60,7.5999999999999996,0.75,22.530000000000001,47.939999999999998,29.530000000000001,1.97,32.35000000000,18.379999999999999,1.5600000000000001,1.3200000000000001,2,8,5.730000,1.710000,3.620000,2.270000,1.880000
